timestamp,idade,sexo,estado_civil,escolaridade,regiao,ocupacao,sistema_operacional,dias_entretenimento,horas_filmes,horas_series,horas_jogos,uso_app_similar,opiniao_proposta,usaria_app,indicaria_app,inclusao_livros,funcionalidades
2025/04/24 8:56:41 PM GMT-3,21,Masculino,Solteiro(a),Ensino superior,Capital de São Paulo,Estudante,iOS,2,0,2,4,"Sim, uso frequentemente",Muito interessante,Sim,Sim,Seria ótimo!,Aba pessoal com suas avaliações e likes;Algoritmo de recomendação futura;Feed social com avaliações e postagens dos amigos;Coleções temáticas (ex: tudo da Marvel)
2025/04/25 9:48:03 AM GMT-3,17,Masculino,Solteiro(a),Ensino médio,Capital de São Paulo,Estudante,Android,5,1,1,4,"Sim, uso frequentemente",Muito interessante,Sim,Sim,Seria ótimo!,Algoritmo de recomendação futura;Feed social com avaliações e postagens dos amigos;Coleções temáticas (ex: tudo da Marvel)
2025/04/30 9:55:14 AM GMT-3,20,Masculino,Solteiro(a),Ensino superior (incompleto),Região do ABCD,Estudante,iOS,7,2,3,4,"Sim, mas raramente",Muito interessante,Sim,Sim,"Seria interessante, mas não é algo essencial pra mim",Algoritmo de recomendação futura;Feed social com avaliações e postagens dos amigos
2025/05/02 5:28:59 PM GMT-3,44,Feminino,Casado(a),Ensino médio (completo),Capital de São Paulo,Autônomo(a),Android,7,10,10,0,Não conheço nenhum,Interessante,Sim,Sim,Seria ótimo!,Aba pessoal com suas avaliações e likes
2025/05/02 5:29:09 PM GMT-3,21,Feminino,Solteiro(a),Ensino superior (incompleto),Capital de São Paulo,Estudante,iOS,1,1,1,0,Não tenho interesse,Muito interessante,Não,Sim,Seria ótimo!,Algoritmo de recomendação futura
2025/05/02 5:40:42 PM GMT-3,50,Masculino,Casado(a),Ensino superior (incompleto),Capital de São Paulo,Empregado(a) formal,Android,3,4,2,0,Não conheço nenhum,Muito interessante,Talvez,Sim,"Seria interessante, mas não é algo essencial pra mim",Algoritmo de recomendação futura
2025/05/02 6:01:37 PM GMT-3,20,Masculino,Solteiro(a),Ensino superior (incompleto),Capital de São Paulo,Estudante,Android,3,7,0,0,"Sim, uso frequentemente",Muito interessante,Sim,Sim,Seria ótimo!,Feed social com avaliações e postagens dos amigos
2025/05/03 3:33:04 AM GMT-3,20,Masculino,Solteiro(a),Ensino superior (incompleto),Outro país,Estudante,iOS,7,3,3,2,"Sim, mas raramente",Muito interessante,Sim,Sim,Seria ótimo!,Aba pessoal com suas avaliações e likes;Feed social com avaliações e postagens dos amigos
2025/05/03 3:47:46 PM GMT-3,20,Feminino,Solteiro(a),Ensino superior (incompleto),Capital de São Paulo,Estudante,iOS,1,0,1,0,"Sim, mas raramente",Muito interessante,Sim,Sim,Seria ótimo!,Aba pessoal com suas avaliações e likes;Algoritmo de recomendação futura;Feed social com avaliações e postagens dos amigos;Coleções temáticas (ex: tudo da Marvel)
2025/05/03 5:59:52 PM GMT-3,56,Masculino,Casado(a),"Pós-graduação (mestrado, doutorado) incompleto",Capital de São Paulo,Empregado(a) formal,iOS,1,2,1,0,Não tenho interesse,Muito interessante,Sim,Sim,Seria ótimo!,Feed social com avaliações e postagens dos amigos
2025/05/07 10:06:01 AM GMT-3,22,Masculino,Solteiro(a),Ensino superior (incompleto),Região do ABCD,Estudante,Android,7,3,20,21,"Sim, mas raramente",Muito interessante,Sim,Sim,Seria ótimo!,Aba pessoal com suas avaliações e likes;Algoritmo de recomendação futura;Coleções temáticas (ex: tudo da Marvel)
2025/05/09 8:54:44 AM GMT-3,18,Masculino,Solteiro(a),Ensino médio (completo),Capital de São Paulo,Estudante,iOS,7,2,2,3,Não conheço nenhum,Muito interessante,Sim,Sim,Seria ótimo!,Aba pessoal com suas avaliações e likes;Algoritmo de recomendação futura;Feed social com avaliações e postagens dos amigos
2025/05/09 12:38:27 PM GMT-3,19,Feminino,Solteiro(a),Ensino superior (incompleto),Região do ABCD,Estudante,iOS,7,5,10,30,"Sim, uso frequentemente",Muito interessante,Sim,Talvez,Seria ótimo!,Feed social com avaliações e postagens dos amigos
2025/05/09 12:38:48 PM GMT-3,19,Masculino,Solteiro(a),Ensino superior (incompleto),Capital de São Paulo,Estudante,Android,3,1,1,0,Não conheço nenhum,Muito interessante,Sim,Talvez,Seria ótimo!,Aba pessoal com suas avaliações e likes;Algoritmo de recomendação futura;Feed social com avaliações e postagens dos amigos;Coleções temáticas (ex: tudo da Marvel)
2025/05/09 12:43:15 PM GMT-3,19,Feminino,Viúvo(a),Ensino superior (incompleto),Região do ABCD,Estudante,iOS,1,2,2,2,"Sim, mas raramente",Indiferente,Talvez,Talvez,"Seria interessante, mas não é algo essencial pra mim",Algoritmo de recomendação futura;Feed social com avaliações e postagens dos amigos
2025/05/09 12:49:17 PM GMT-3,19,Masculino,Solteiro(a),Ensino superior (incompleto),Capital de São Paulo,Estudante,Android,4,2,6,8,Não tenho interesse,Indiferente,Talvez,Talvez,Não tenho interesse em livros nesse tipo de plataforma,Aba pessoal com suas avaliações e likes;Algoritmo de recomendação futura
2025/05/09 12:54:02 PM GMT-3,32,Masculino,Casado(a),Ensino superior (completo),Capital de São Paulo,Empregado(a) formal,iOS,2,2,2,2,Não conheço nenhum,Interessante,Sim,Sim,"Seria interessante, mas não é algo essencial pra mim",Algoritmo de recomendação futura;Feed social com avaliações e postagens dos amigos
2025/05/09 12:56:13 PM GMT-3,19,Feminino,Solteiro(a),Ensino superior (incompleto),Região do ABCD,Estudante,iOS,7,2,5,0,"Sim, mas raramente",Muito interessante,Sim,Sim,Seria ótimo!,Coleções temáticas (ex: tudo da Marvel)
2025/05/09 12:56:13 PM GMT-3,21,Masculino,Solteiro(a),Ensino superior (incompleto),Região do ABCD,Empregado(a) formal,iOS,3,2,2,0,Não conheço nenhum,Muito interessante,Sim,Sim,"Seria interessante, mas não é algo essencial pra mim",Algoritmo de recomendação futura
2025/05/09 12:56:42 PM GMT-3,19,Feminino,Solteiro(a),Ensino superior (incompleto),Capital de São Paulo,Estudante,iOS,1,2,0,0,Não conheço nenhum,Muito interessante,Sim,Sim,Seria ótimo!,Algoritmo de recomendação futura
2025/05/09 1:07:04 PM GMT-3,21,Prefiro não dizer,Solteiro(a),Ensino superior (incompleto),Capital de São Paulo,Estudante,Android,7,0,0,20,"Sim, uso frequentemente",Pouco interessante,Não,Não,"Seria interessante, mas não é algo essencial pra mim",Algoritmo de recomendação futura
2025/05/09 1:07:50 PM GMT-3,20,Masculino,Solteiro(a),Ensino superior (incompleto),Região do ABCD,Estudante,iOS,7,2,9,1,"Sim, mas raramente",Indiferente,Talvez,Talvez,"Seria interessante, mas não é algo essencial pra mim",Algoritmo de recomendação futura
2025/05/09 1:08:59 PM GMT-3,58,Feminino,Casado(a),"Pós-graduação (mestrado, doutorado) completo",Capital de São Paulo,Empregado(a) formal,iOS,7,4,2,5,Não conheço nenhum,Interessante,Sim,Sim,Seria ótimo!,Aba pessoal com suas avaliações e likes;Algoritmo de recomendação futura;Coleções temáticas (ex: tudo da Marvel)
2025/05/09 1:10:42 PM GMT-3,20,Masculino,Solteiro(a),Ensino superior (incompleto),Região do ABCD,Estudante,Android,4,0,6,10,"Sim, uso frequentemente",Interessante,Sim,Talvez,Seria ótimo!,Algoritmo de recomendação futura;Feed social com avaliações e postagens dos amigos
2025/05/09 1:18:33 PM GMT-3,48,Feminino,Casado(a),"Pós-graduação (mestrado, doutorado) completo",Região do ABCD,Autônomo(a),iOS,7,2,2,0,"Sim, uso frequentemente",Interessante,Talvez,Talvez,Seria ótimo!,Coleções temáticas (ex: tudo da Marvel)
2025/05/09 1:41:56 PM GMT-3,22,Masculino,Solteiro(a),Ensino superior (incompleto),Região do ABCD,Estudante,iOS,7,3,3,7,"Sim, uso frequentemente",Muito interessante,Não,Não,Não sei / Prefiro não opinar,Coleções temáticas (ex: tudo da Marvel)
2025/05/09 1:50:05 PM GMT-3,24,Feminino,Solteiro(a),"Pós-graduação (mestrado, doutorado) incompleto",Capital de São Paulo,Desempregado(a),Android,7,2,28,3,Não conheço nenhum,Muito interessante,Sim,Sim,Seria ótimo!,Aba pessoal com suas avaliações e likes;Algoritmo de recomendação futura;Feed social com avaliações e postagens dos amigos;Coleções temáticas (ex: tudo da Marvel)
2025/05/09 1:55:58 PM GMT-3,20,Masculino,Solteiro(a),Ensino superior (incompleto),Capital de São Paulo,Estudante,Android,2,3,1,4,"Sim, mas raramente",Interessante,Sim,Sim,Seria ótimo!,Algoritmo de recomendação futura
2025/05/09 1:56:34 PM GMT-3,62,Masculino,Casado(a),Ensino superior (completo),Interior de São Paulo,Autônomo(a),Android,7,4,9,0,Não conheço nenhum,Interessante,Sim,Sim,Seria ótimo!,Coleções temáticas (ex: tudo da Marvel)
2025/05/09 1:56:58 PM GMT-3,21,Masculino,Solteiro(a),Ensino superior (incompleto),Capital de São Paulo,Estudante,Android,7,2,4,2,Não conheço nenhum,Muito interessante,Sim,Sim,Seria ótimo!,Aba pessoal com suas avaliações e likes;Algoritmo de recomendação futura
2025/05/09 2:05:03 PM GMT-3,20,Feminino,Solteiro(a),Ensino superior (completo),Capital de São Paulo,Estudante,iOS,7,3,7,5,Não conheço nenhum,Muito interessante,Sim,Sim,Seria ótimo!,Aba pessoal com suas avaliações e likes;Algoritmo de recomendação futura;Feed social com avaliações e postagens dos amigos
2025/05/09 2:08:16 PM GMT-3,22,Masculino,Solteiro(a),Ensino médio (completo),Capital de São Paulo,Estudante,iOS,7,2,6,0,Não tenho interesse,Muito interessante,Sim,Sim,Seria ótimo!,Aba pessoal com suas avaliações e likes;Feed social com avaliações e postagens dos amigos
2025/05/09 2:17:33 PM GMT-3,21,Masculino,Solteiro(a),Ensino superior (incompleto),Capital de São Paulo,Estudante,iOS,7,4,5,24,"Sim, uso frequentemente",Muito interessante,Sim,Sim,"Seria interessante, mas não é algo essencial pra mim",Aba pessoal com suas avaliações e likes;Algoritmo de recomendação futura;Feed social com avaliações e postagens dos amigos;Coleções temáticas (ex: tudo da Marvel)
2025/05/09 2:19:45 PM GMT-3,20,Masculino,Solteiro(a),Ensino superior (incompleto),Capital de São Paulo,Estudante,Android,1,2,4,20,Não tenho interesse,Interessante,Talvez,Sim,Seria ótimo!,Feed social com avaliações e postagens dos amigos
2025/05/09 2:27:19 PM GMT-3,21,Masculino,Solteiro(a),Ensino superior (incompleto),Capital de São Paulo,Empregado(a) formal,Android,7,2,8,8,Não conheço nenhum,Interessante,Talvez,Sim,Não tenho interesse em livros nesse tipo de plataforma,Algoritmo de recomendação futura;Feed social com avaliações e postagens dos amigos
2025/05/09 2:30:39 PM GMT-3,23,Masculino,Solteiro(a),Ensino superior (incompleto),Capital de São Paulo,Autônomo(a),Android,7,5,0,0,Não tenho interesse,Muito interessante,Talvez,Sim,Seria ótimo!,Algoritmo de recomendação futura;Coleções temáticas (ex: tudo da Marvel)
2025/05/09 2:49:19 PM GMT-3,19,Masculino,Solteiro(a),Ensino superior (incompleto),Capital de São Paulo,Empregado(a) formal,iOS,3,5,5,8,Não conheço nenhum,Interessante,Talvez,Talvez,"Seria interessante, mas não é algo essencial pra mim",Feed social com avaliações e postagens dos amigos
2025/05/09 2:52:20 PM GMT-3,20,Masculino,Solteiro(a),Ensino superior (completo),Capital de São Paulo,Estudante,iOS,7,10,0,5,"Sim, uso frequentemente",Muito interessante,Sim,Sim,Seria ótimo!,Aba pessoal com suas avaliações e likes;Feed social com avaliações e postagens dos amigos;Coleções temáticas (ex: tudo da Marvel)
2025/05/09 3:02:54 PM GMT-3,25,Masculino,Solteiro(a),Ensino superior (completo),Capital de São Paulo,Empregado(a) formal,iOS,7,2,4,20,Não tenho interesse,Muito interessante,Sim,Sim,Seria ótimo!,Aba pessoal com suas avaliações e likes;Algoritmo de recomendação futura;Coleções temáticas (ex: tudo da Marvel)
2025/05/09 3:04:49 PM GMT-3,62,Masculino,Casado(a),"Pós-graduação (mestrado, doutorado) completo",Capital de São Paulo,Outro,Android,7,8,7,0,Não conheço nenhum,Muito interessante,Sim,Sim,Seria ótimo!,Aba pessoal com suas avaliações e likes
2025/05/09 3:11:50 PM GMT-3,20,Masculino,Solteiro(a),Ensino superior (incompleto),Capital de São Paulo,Estudante,iOS,7,0,0,14,"Sim, mas raramente",Interessante,Talvez,Talvez,Seria ótimo!,Algoritmo de recomendação futura;Coleções temáticas (ex: tudo da Marvel)
2025/05/09 3:37:09 PM GMT-3,22,Masculino,Solteiro(a),Ensino superior (incompleto),Capital de São Paulo,Estudante,Android,3,5,4,2,Não conheço nenhum,Muito interessante,Sim,Sim,Seria ótimo!,Aba pessoal com suas avaliações e likes;Algoritmo de recomendação futura;Feed social com avaliações e postagens dos amigos
2025/05/09 4:01:12 PM GMT-3,19,Masculino,Solteiro(a),Ensino superior (incompleto),Capital de São Paulo,Estudante,iOS,5,2,2,8,"Sim, uso frequentemente",Muito interessante,Sim,Sim,Não sei / Prefiro não opinar,Aba pessoal com suas avaliações e likes;Algoritmo de recomendação futura
2025/05/09 4:18:38 PM GMT-3,53,Feminino,Casado(a),Ensino superior (completo),Capital de São Paulo,Autônomo(a),iOS,7,321,21,0,Não conheço nenhum,Muito interessante,Sim,Sim,Não tenho interesse em livros nesse tipo de plataforma,Algoritmo de recomendação futura
2025/05/09 4:38:52 PM GMT-3,21,Feminino,Solteiro(a),Ensino superior (incompleto),Capital de São Paulo,Estudante,iOS,2,4,1,0,Não conheço nenhum,Muito interessante,Sim,Sim,Seria ótimo!,Aba pessoal com suas avaliações e likes;Algoritmo de recomendação futura;Feed social com avaliações e postagens dos amigos;Coleções temáticas (ex: tudo da Marvel);Tudo em uma única plataforma
2025/05/09 5:28:51 PM GMT-3,16,Feminino,Solteiro(a),Ensino médio (incompleto),Região do ABCD,Estudante,iOS,5,20,5,0,Não conheço nenhum,Muito interessante,Sim,Sim,"Seria interessante, mas não é algo essencial pra mim",Coleções temáticas (ex: tudo da Marvel)
2025/05/09 7:47:46 PM GMT-3,63,Feminino,Casado(a),Ensino superior (completo),Capital de São Paulo,Aposentado(a),Android,7,20,20,0,Não tenho interesse,Interessante,Sim,Sim,Seria ótimo!,Aba pessoal com suas avaliações e likes
2025/05/09 8:28:33 PM GMT-3,60,Masculino,Casado(a),Ensino superior (incompleto),Capital de São Paulo,Autônomo(a),Android,7,20,20,0,Não conheço nenhum,Muito interessante,Sim,Sim,Seria ótimo!,Aba pessoal com suas avaliações e likes
2025/05/09 8:45:41 PM GMT-3,19,Feminino,Solteiro(a),Ensino superior (incompleto),Capital de São Paulo,Estudante,iOS,7,0,10,0,Não conheço nenhum,Pouco interessante,Talvez,Não,Seria ótimo!,Algoritmo de recomendação futura
2025/05/09 9:53:15 PM GMT-3,21,Feminino,Solteiro(a),Ensino superior (incompleto),Capital de São Paulo,Estudante,iOS,7,3,0,10,"Sim, uso frequentemente",Muito interessante,Talvez,Talvez,Seria ótimo!,Algoritmo de recomendação futura
2025/05/10 10:30:29 AM GMT-3,19,Feminino,Solteiro(a),Ensino médio (completo),Região do ABCD,Estudante,iOS,2,3,1,0,Não conheço nenhum,Muito interessante,Sim,Sim,Seria ótimo!,Feed social com avaliações e postagens dos amigos
2025/05/10 8:33:45 PM GMT-3,24,Masculino,Solteiro(a),Ensino superior (incompleto),Interior de São Paulo,Estudante,Android,7,0,0,20,Não conheço nenhum,Interessante,Talvez,Talvez,Seria ótimo!,Aba pessoal com suas avaliações e likes;Algoritmo de recomendação futura;Feed social com avaliações e postagens dos amigos
2025/05/11 3:16:25 AM GMT-3,22,Masculino,Solteiro(a),Ensino médio (completo),Capital de São Paulo,Estudante,Android,7,5,5,20,"Sim, uso frequentemente",Interessante,Sim,Sim,Seria ótimo!,Algoritmo de recomendação futura
2025/05/11 12:41:31 PM GMT-3,21,Feminino,Solteiro(a),Ensino superior (incompleto),Capital de São Paulo,Estudante,iOS,7,4,8,1,Não conheço nenhum,Muito interessante,Sim,Sim,Seria ótimo!,Algoritmo de recomendação futura
